timestamp,counter,af_resource,sti_concentration,link_density,connection_ratio,normalized_sti_entropy,retention,p_correlation,modulation
2026-04-22 18:34:10.267855,18,0.16605166051660517,0.920000000000024,0.01373283395755306,1,0.5763300613484369,NaN,0.9513510329543446,0.34415968465486585
2026-04-22 18:34:10.401219,19,0.16758747697974216,0.9240000000000229,0.013431013431013432,1,0.5788781084966087,NaN,0.9537282310829055,0.3640818245105527
2026-04-22 18:34:21.248074,20,0.05519779208831647,0.7507786277349701,0.1338235294117647,0.21978021978021978,0.6474283900418988,0.10471204188481675,0.8239585234677786,0.06286114616008134
2026-04-22 18:34:22.480010,21,0.04275862068965517,0.7379250537470217,0.22335203366058906,0.21978021978021978,0.6420243404078232,NaN,0.8323763786983343,0.0682175042063994
2026-04-22 18:34:23.737621,22,0.043198529411764705,0.7493196166275824,0.21859986273164037,0.21978021978021978,0.63734471724117,NaN,0.8400311411565905,0.07356399171693978
2026-04-22 18:34:24.934682,23,0.04363803399173174,0.75976463260143,0.21399776035834267,0.21978021978021978,0.6332882006106121,NaN,0.8470193778594773,0.07890062910834424
2026-04-22 18:34:26.134142,24,0.0440771349862259,0.769374047297372,0.20953947368421053,0.21978021978021978,0.6297705429832222,NaN,0.8534227518856792,0.08422743674724925
2026-04-22 18:34:27.353663,25,0.0445158329508949,0.7782442762474738,0.20521907216494845,0.21978021978021978,0.626721186632675,NaN,0.8593105592261294,0.08954443495042531
2026-04-22 18:34:28.554473,26,0.044954128440366975,0.7864574512012718,0.20103092783505155,0.21978021978021978,0.624080647482932,NaN,0.8647418503792476,0.0948516439849259
2026-04-22 18:34:29.752485,27,0.0453920220082531,0.7940839708012294,0.19696969696969696,0.21978021978021978,0.6217984711404332,NaN,0.8697671758757595,0.10014908406822835
2026-04-22 18:34:30.949756,28,0.04585052728106373,0.8014650480586913,0.19303030303030302,0.21978021978021978,0.6196563646025683,NaN,0.8744064216288862,0.10432804109206363
2026-04-22 18:34:32.149003,29,0.0462878093492209,0.8080828797900687,0.1892079207920792,0.21978021978021978,0.6179749060300227,NaN,0.8787463133407043,0.10954601222790183
2026-04-22 18:34:51.578715,30,0.04022795843110962,0.6986042856040574,0.6815126050420168,0.6993423756678997,0.6805515960586145,0.5899280575539568,0.8065072198555155,0.06786291136137519
2026-04-22 18:34:54.350764,31,0.029155495978552277,0.6830650290685493,1.3007217321571771,0.6993423756678997,0.6766371239915031,NaN,0.8130690201030889,0.07171496919834432
2026-04-22 18:34:57.112221,32,0.02948073701842546,0.6926691190967841,1.2711598746081505,0.6993423756678997,0.6730768627778481,NaN,0.8191963221711336,0.07556185078080961
2026-04-22 18:34:59.881255,33,0.029805760214333555,0.7017082626527719,1.2425944841675178,0.6993423756678997,0.6698360625224651,NaN,0.8249307169592727,0.07940356391590288
2026-04-22 18:35:02.679385,34,0.03013056578506863,0.7102308837198307,1.2149812734082397,0.6993423756678997,0.6668841443997526,NaN,0.8303087071101591,0.08324011639680862
2026-04-22 18:35:05.474565,35,0.030455153949129853,0.7182800258387253,1.1882783882783883,0.6993423756678997,0.6641941046991777,NaN,0.8353624465460815,0.08707151600279471
2026-04-22 18:35:08.256341,36,0.030779524924723987,0.7258940791944257,1.1624462494027712,0.6993423756678997,0.6617420173112647,NaN,0.8401203591784178,0.09089777049924713
2026-04-22 18:35:11.048037,37,0.031103678929765885,0.7331073928998354,1.1374474053295933,0.6993423756678997,0.6595066162842229,NaN,0.8446076577808295,0.09471888763770277
2026-04-22 18:35:13.824234,38,0.03142761618187897,0.7399507930818907,1.1132463967055595,0.6993423756678997,0.6574689438845146,NaN,0.8488467804537561,0.09853487515584296
2026-04-22 18:35:16.600964,39,0.031751336898395724,0.7464520232548435,1.0898096304591265,0.6993423756678997,0.6556120525380519,NaN,0.852857759006989,0.10234574077758715
2026-04-22 18:35:45.204982,40,0.030643513789581207,0.7187142666013361,0.7418767507002801,0.7062488200868416,0.6636789543448859,0.6666666666666666,0.7983102867826736,0.07648718280629598
