FUNDS_STI,TARGET_STI,AFRentCoverageRatio,AFRentMaxCollectionRate,atom_stis,fundGap,desiredCollection,floorSti,capacities,totalCapacity,maxCollectible,collectionBudget,atom_rents,ending_atom_stis,ending_FUNDS_STI
950.0,1000.0,0.5,0.1,20 20 100,50.0,25.0,20.0,0 0 80,80.0,8.0,8.0,0 0 8,20 20 92,958.0
950.0,1000.0,0.5,0.1,80 100 200,50.0,25.0,80.0,0 20 120,140.0,14.0,14.0,0 2 12,80 98 188,964.0
950.0,1000.0,0.5,0.1,20 20 20,50.0,25.0,20.0,0 0 0,0.0,0.0,0.0,0 0 0,20 20 20,950.0
950.0,1000.0,0.5,0.25,20 100 200,50.0,25.0,20.0,0 80 180,260.0,65.0,25.0,0 7.69231 17.3077,20 92.3077 182.692,975.0
950.0,1000.0,0.5,0.25,20 20 100,50.0,25.0,20.0,0 0 80,80.0,20.0,20.0,0 0 20,20 20 80,970.0
950.0,1000.0,0.5,0.25,80 100 200,50.0,25.0,80.0,0 20 120,140.0,35.0,25.0,0 3.57143 21.4286,80 96.4286 178.571,975.0
950.0,1000.0,0.5,0.25,20 20 20,50.0,25.0,20.0,0 0 0,0.0,0.0,0.0,0 0 0,20 20 20,950.0
950.0,1000.0,0.5,0.5,20 100 200,50.0,25.0,20.0,0 80 180,260.0,130.0,25.0,0 7.69231 17.3077,20 92.3077 182.692,975.0
950.0,1000.0,0.5,0.5,20 20 100,50.0,25.0,20.0,0 0 80,80.0,40.0,25.0,0 0 25,20 20 75,975.0
950.0,1000.0,0.5,0.5,80 100 200,50.0,25.0,80.0,0 20 120,140.0,70.0,25.0,0 3.57143 21.4286,80 96.4286 178.571,975.0
950.0,1000.0,0.5,0.5,20 20 20,50.0,25.0,20.0,0 0 0,0.0,0.0,0.0,0 0 0,20 20 20,950.0
950.0,1000.0,0.5,1.0,20 100 200,50.0,25.0,20.0,0 80 180,260.0,260.0,25.0,0 7.69231 17.3077,20 92.3077 182.692,975.0
